Using cpu device

🎯 Start training block 0
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 42.4     |
|    ep_rew_mean     | -19.2    |
| time/              |          |
|    fps             | 642      |
|    iterations      | 1        |
|    time_elapsed    | 3        |
|    total_timesteps | 2048     |
---------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 43          |
|    ep_rew_mean          | -9.6        |
| time/                   |             |
|    fps                  | 541         |
|    iterations           | 2           |
|    time_elapsed         | 7           |
|    total_timesteps      | 4096        |
| train/                  |             |
|    approx_kl            | 0.006169485 |
|    clip_fraction        | 0.0446      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.89       |
|    explained_variance   | 0.00621     |
|    learning_rate        | 0.0003      |
|    loss                 | 394         |
|    n_updates            | 10          |
|    policy_gradient_loss | -0.00873    |
|    value_loss           | 953         |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 42.9         |
|    ep_rew_mean          | -8.74        |
| time/                   |              |
|    fps                  | 543          |
|    iterations           | 3            |
|    time_elapsed         | 11           |
|    total_timesteps      | 6144         |
| train/                  |              |
|    approx_kl            | 0.0025108894 |
|    clip_fraction        | 0.000146     |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.88        |
|    explained_variance   | 0.216        |
|    learning_rate        | 0.0003       |
|    loss                 | 424          |
|    n_updates            | 20           |
|    policy_gradient_loss | -0.00316     |
|    value_loss           | 752          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 43           |
|    ep_rew_mean          | -10.3        |
| time/                   |              |
|    fps                  | 537          |
|    iterations           | 4            |
|    time_elapsed         | 15           |
|    total_timesteps      | 8192         |
| train/                  |              |
|    approx_kl            | 0.0053833807 |
|    clip_fraction        | 0.00942      |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.88        |
|    explained_variance   | 0.299        |
|    learning_rate        | 0.0003       |
|    loss                 | 284          |
|    n_updates            | 30           |
|    policy_gradient_loss | -0.0051      |
|    value_loss           | 741          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 39.1         |
|    ep_rew_mean          | -2.81        |
| time/                   |              |
|    fps                  | 539          |
|    iterations           | 5            |
|    time_elapsed         | 18           |
|    total_timesteps      | 10240        |
| train/                  |              |
|    approx_kl            | 0.0030311071 |
|    clip_fraction        | 0.000195     |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.88        |
|    explained_variance   | 0.357        |
|    learning_rate        | 0.0003       |
|    loss                 | 372          |
|    n_updates            | 40           |
|    policy_gradient_loss | -0.00433     |
|    value_loss           | 784          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 37.6         |
|    ep_rew_mean          | -4.64        |
| time/                   |              |
|    fps                  | 537          |
|    iterations           | 6            |
|    time_elapsed         | 22           |
|    total_timesteps      | 12288        |
| train/                  |              |
|    approx_kl            | 0.0014012539 |
|    clip_fraction        | 4.88e-05     |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.88        |
|    explained_variance   | 0.367        |
|    learning_rate        | 0.0003       |
|    loss                 | 434          |
|    n_updates            | 50           |
|    policy_gradient_loss | -0.00256     |
|    value_loss           | 812          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 38.8         |
|    ep_rew_mean          | -9.42        |
| time/                   |              |
|    fps                  | 533          |
|    iterations           | 7            |
|    time_elapsed         | 26           |
|    total_timesteps      | 14336        |
| train/                  |              |
|    approx_kl            | 0.0025786576 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.88        |
|    explained_variance   | 0.473        |
|    learning_rate        | 0.0003       |
|    loss                 | 262          |
|    n_updates            | 60           |
|    policy_gradient_loss | -0.00428     |
|    value_loss           | 706          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 41.9         |
|    ep_rew_mean          | -7.4         |
| time/                   |              |
|    fps                  | 523          |
|    iterations           | 8            |
|    time_elapsed         | 31           |
|    total_timesteps      | 16384        |
| train/                  |              |
|    approx_kl            | 0.0015641009 |
|    clip_fraction        | 0            |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.87        |
|    explained_variance   | 0.458        |
|    learning_rate        | 0.0003       |
|    loss                 | 424          |
|    n_updates            | 70           |
|    policy_gradient_loss | -0.00257     |
|    value_loss           | 729          |
------------------------------------------
-------------------------------------------
| rollout/                |               |
|    ep_len_mean          | 41.3          |
|    ep_rew_mean          | -5.62         |
| time/                   |               |
|    fps                  | 516           |
|    iterations           | 9             |
|    time_elapsed         | 35            |
|    total_timesteps      | 18432         |
| train/                  |               |
|    approx_kl            | 0.00081329886 |
|    clip_fraction        | 4.88e-05      |
|    clip_range           | 0.2           |
|    entropy_loss         | -2.87         |
|    explained_variance   | 0.503         |
|    learning_rate        | 0.0003        |
|    loss                 | 291           |
|    n_updates            | 80            |
|    policy_gradient_loss | -0.00212      |
|    value_loss           | 664           |
-------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 40.6         |
|    ep_rew_mean          | -7.55        |
| time/                   |              |
|    fps                  | 511          |
|    iterations           | 10           |
|    time_elapsed         | 40           |
|    total_timesteps      | 20480        |
| train/                  |              |
|    approx_kl            | 0.0024760002 |
|    clip_fraction        | 0.000732     |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.87        |
|    explained_variance   | 0.526        |
|    learning_rate        | 0.0003       |
|    loss                 | 291          |
|    n_updates            | 90           |
|    policy_gradient_loss | -0.00393     |
|    value_loss           | 621          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 37.6         |
|    ep_rew_mean          | -4.41        |
| time/                   |              |
|    fps                  | 514          |
|    iterations           | 11           |
|    time_elapsed         | 43           |
|    total_timesteps      | 22528        |
| train/                  |              |
|    approx_kl            | 0.0012544862 |
|    clip_fraction        | 4.88e-05     |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.86        |
|    explained_variance   | 0.519        |
|    learning_rate        | 0.0003       |
|    loss                 | 292          |
|    n_updates            | 100          |
|    policy_gradient_loss | -0.00317     |
|    value_loss           | 693          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 36.3         |
|    ep_rew_mean          | -10.9        |
| time/                   |              |
|    fps                  | 514          |
|    iterations           | 12           |
|    time_elapsed         | 47           |
|    total_timesteps      | 24576        |
| train/                  |              |
|    approx_kl            | 0.0031525425 |
|    clip_fraction        | 0.000439     |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.85        |
|    explained_variance   | 0.636        |
|    learning_rate        | 0.0003       |
|    loss                 | 252          |
|    n_updates            | 110          |
|    policy_gradient_loss | -0.00451     |
|    value_loss           | 577          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 40.3         |
|    ep_rew_mean          | -3.95        |
| time/                   |              |
|    fps                  | 510          |
|    iterations           | 13           |
|    time_elapsed         | 52           |
|    total_timesteps      | 26624        |
| train/                  |              |
|    approx_kl            | 0.0012436248 |
|    clip_fraction        | 0.000146     |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.84        |
|    explained_variance   | 0.576        |
|    learning_rate        | 0.0003       |
|    loss                 | 323          |
|    n_updates            | 120          |
|    policy_gradient_loss | -0.00206     |
|    value_loss           | 668          |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 36.3        |
|    ep_rew_mean          | -4.03       |
| time/                   |             |
|    fps                  | 506         |
|    iterations           | 14          |
|    time_elapsed         | 56          |
|    total_timesteps      | 28672       |
| train/                  |             |
|    approx_kl            | 0.005603744 |
|    clip_fraction        | 0.00522     |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.82       |
|    explained_variance   | 0.623       |
|    learning_rate        | 0.0003      |
|    loss                 | 233         |
|    n_updates            | 130         |
|    policy_gradient_loss | -0.00486    |
|    value_loss           | 562         |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 35.6         |
|    ep_rew_mean          | -6.81        |
| time/                   |              |
|    fps                  | 504          |
|    iterations           | 15           |
|    time_elapsed         | 60           |
|    total_timesteps      | 30720        |
| train/                  |              |
|    approx_kl            | 0.0013974898 |
|    clip_fraction        | 0.000488     |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.81        |
|    explained_variance   | 0.616        |
|    learning_rate        | 0.0003       |
|    loss                 | 275          |
|    n_updates            | 140          |
|    policy_gradient_loss | -0.00225     |
|    value_loss           | 587          |
------------------------------------------
👁️  Visualizing test match
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Player is getting closer to the ball, reward applied (+0.1).
Ball touching ground on ai's side, penalty applied (-70).
Player is above the ball, penalty applied (-1).
💾 Saving model at block 0

🎯 Start training block 1
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 37.6     |
|    ep_rew_mean     | -10.6    |
| time/              |          |
|    fps             | 606      |
|    iterations      | 1        |
|    time_elapsed    | 3        |
|    total_timesteps | 32768    |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 41.2         |
|    ep_rew_mean          | -9.37        |
| time/                   |              |
|    fps                  | 533          |
|    iterations           | 2            |
|    time_elapsed         | 7            |
|    total_timesteps      | 34816        |
| train/                  |              |
|    approx_kl            | 0.0010422281 |
|    clip_fraction        | 0.000244     |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.81        |
|    explained_variance   | 0.62         |
|    learning_rate        | 0.0003       |
|    loss                 | 256          |
|    n_updates            | 160          |
|    policy_gradient_loss | -0.00144     |
|    value_loss           | 588          |
------------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 36.8         |
|    ep_rew_mean          | -15.3        |
| time/                   |              |
|    fps                  | 517          |
|    iterations           | 3            |
|    time_elapsed         | 11           |
